# URL: http://imgsrc.hubblesite.org/hu/db/images/hs-1999-30-b-full_jpg.jpg ; Threshold of: 600; Time it took: (0.27300000190734863, 320); Stars found: 320; Data below is (x y brightness) brightness as rgb sum and x,y as pixel
  0   6 629
  0 131 605
  1  30 762
  1 282 765
  9 279 730
  9 358 708
 10 191 647
 11 290 659
 12   1 764
 12 387 614
 13  90 682
 15 159 675
 16 133 618
 18 426 724
 19 257 650
 26  94 609
 30 326 643
 31  80 709
 33 353 762
 39 251 639
 50 378 650
 55 139 615
 55 385 681
 59 238 647
 64  81 607
 64 280 604
 64 368 612
 66 146 682
 72 345 764
 73   4 744
 77 436 658
 81 255 700
 85  81 633
 86 426 616
 88 359 707
 89 279 621
 96 366 622
 98 338 629
 99 215 725
101 146 703
105 430 603
106 420 656
111 140 640
114 109 722
118 501 716
119 104 624
120 223 760
120 326 637
120 364 708
121  93 762
121 186 636
121 231 688
121 474 604
122 179 684
122 250 765
122 398 638
124 161 617
125  20 730
126 161 662
130 330 655
134 122 739
134 283 709
135  98 674
136 171 638
136 228 601
138 183 612
139 246 763
142  10 707
144 261 761
145 266 748
146 397 701
147 109 764
151 240 638
152  63 711
155 185 650
155 226 734
156 270 764
156 310 728
158 160 709
159 145 622
160 125 614
161  49 630
164 257 622
167 214 607
167 272 613
168 235 609
169 148 707
170 264 760
171  37 668
173 386 670
175  73 765
176 261 665
181 177 663
181 294 602
181 378 632
182 133 732
183 198 764
184 228 765
188 401 606
189 139 609
189 206 684
189 293 632
190 119 765
190 183 748
190 213 634
195 168 748
197 238 728
200 128 720
200 276 765
201 226 749
202 119 764
202 130 605
202 197 620
203 174 615
203 196 673
203 210 728
204 123 761
205  71 656
206 313 665
208  15 650
208  83 607
208  94 634
208 194 765
208 202 685
208 225 709
209 163 681
210 253 604
211 149 603
212 232 707
213  96 601
213 286 658
214 241 765
214 323 701
214 381 680
215 148 681
216 199 702
217  98 601
219 151 630
219 238 628
221 132 732
221 169 625
222 156 615
222 245 620
222 364 688
223 395 673
225  82 603
225 135 606
225 259 764
226 212 759
226 254 640
227 252 617
228  87 641
228 237 615
228 327 613
228 341 611
229 159 664
231  46 660
231 204 663
232 135 658
232 229 618
234 354 672
236 180 649
236 319 632
237 148 680
238 206 610
238 255 609
239 207 728
240 157 614
241 248 644
241 277 655
241 352 633
243 341 724
244 128 630
244 283 636
245 266 672
245 276 669
245 289 726
247 171 727
248 125 669
248 145 659
248 274 605
251 118 609
251 193 694
253 243 605
254 138 644
257 127 613
257 175 600
257 301 689
260 236 644
260 273 613
261 189 609
263 233 764
264 121 703
264 135 695
264 306 613
265 259 758
267 173 696
268 133 605
268 152 764
268 179 710
268 216 618
270 192 759
270 358 632
271 295 633
275 172 679
279 180 605
279 268 711
280 105 612
280 365 668
282 220 620
284 233 612
285 254 765
286 280 636
288 213 633
289 191 622
289 249 682
290 176 762
291 167 637
293  93 655
293 324 602
295 153 660
297 226 604
297 275 757
299 172 698
300   8 631
302 199 764
303 175 622
304 314 603
306 225 636
308 333 658
309 316 616
309 330 635
310 150 759
311   0 635
312 289 612
312 330 614
313 129 761
313 132 616
313 180 603
313 274 735
315  63 765
316 133 607
317 204 700
318 249 624
318 276 635
319 250 623
320 208 635
320 311 628
321 207 622
323 109 757
326 341 742
327 172 676
329  42 617
330  51 610
332 123 703
333  54 611
333  88 634
333 251 744
334 302 621
336 256 648
337 236 659
338 137 612
339  69 761
339  75 764
341 164 643
343 304 705
351  10 671
351  20 606
351 386 602
356 197 644
357 317 657
358  92 764
360  99 642
363 132 644
364 157 752
370 106 744
374  83 660
375 246 765
376 419 765
377  17 765
377 250 704
379 293 620
381  33 608
389 432 722
392 379 613
393  59 700
395 148 683
397 237 670
401  21 658
401  31 759
401  82 705
409 146 620
412  64 743
424 384 604
425  88 758
435  49 648
436 267 628
438 190 761
440 290 657
443 155 630
444 214 677
447 131 765
449 191 633
451  32 712
452 145 750
460  70 679
464 412 703
468  52 626
473 293 708
475   7 764
475 365 698
484 270 648
487 168 637
489  64 724
493  63 638
496 105 722
499 424 681
502 129 600
502 175 742
504 450 651
