# URL: http://imgsrc.hubblesite.org/hu/db/images/hs-1993-13-a-large_web.jpg ; Threshold of: 600; Time it took: (0.38499999046325684, 72); Stars found: 72; Data below is (x y brightness) brightness as rgb sum and x,y as pixel
  5 449 638
 31 312 637
 44 258 613
 70 393 600
 83 405 627
100 623 605
114 297 662
121 434 646
134 632 602
149 252 634
159 570 604
171 533 611
173 301 608
173 338 640
173 346 603
199 453 607
203 472 622
213  17 618
248 364 620
249 297 611
250 377 608
274 144 624
276 457 612
281 176 646
283 661 610
301 389 695
309 442 643
319 398 607
320 443 643
337 436 605
353 472 629
355 446 609
372 295 601
372 437 655
374 310 634
388 409 609
395 281 653
402 419 654
406 554 615
427 440 646
452 469 629
455 541 626
460 336 617
464 436 606
468 464 646
474 351 604
476 291 608
481  56 630
481 184 628
506 495 655
515 289 615
520 431 601
521 474 615
523 199 646
525 604 630
537 504 649
542 348 639
557 399 638
571 357 653
582 147 686
582 219 652
587 223 604
593 456 653
603 307 622
620 664 606
643 552 636
661 625 641
677 404 644
692 421 621
733 263 606
764 345 671
795 484 633
