# URL: http://imgsrc.hubblesite.org/hu/db/images/hs-2004-20-a-large_web.jpg ; Threshold of: 600; Time it took: (0.3149998188018799, 121); Stars found: 121; Data below is (x y brightness) brightness as rgb sum and x,y as pixel
 10 541 631
 12 228 742
 22 351 676
 33 199 623
 42   4 625
 55 228 679
 65 150 663
 77 140 604
 83 342 632
 83 439 609
 84 293 625
 87 336 600
 91   0 688
 97 502 606
115 458 602
121 360 673
124 291 610
142   2 641
153 180 700
156 504 619
165 480 611
169 268 711
179 172 620
187 346 608
207 439 677
217 188 702
230 292 701
235 333 601
242 324 637
243 447 628
247 317 631
261 410 662
268 160 613
289 295 658
290 288 635
290 374 698
291 162 613
302 315 608
303  62 694
313 207 624
315 329 601
316 565 629
318  50 675
323 426 694
328  31 674
329 308 605
330 491 680
336 294 661
337 537 605
340 111 602
340 427 638
342 301 655
342 483 608
355 504 653
358 214 670
369 379 676
375   3 608
381  72 621
382 152 673
382 183 624
382 325 605
416 194 702
425 316 605
425 360 603
427 502 649
435 399 616
437 296 641
437 467 602
440 458 601
451 123 609
452 227 607
461 408 608
465  43 617
477 266 686
481 263 645
495 342 615
504 351 633
506  68 613
524  53 630
526 230 658
528 163 607
530 355 633
537 128 656
548 249 667
551 220 634
555 125 603
555 209 690
559  11 710
561 182 604
567 330 652
570 107 619
582 235 605
587 358 675
603 273 651
614 105 634
619 306 621
626  95 646
632 224 700
633 553 741
653 313 608
655 126 628
659 425 603
669 210 601
671 283 631
682 244 639
693  80 601
701 343 680
723  34 633
723 148 734
727 130 652
727 301 628
744 220 644
747 320 704
751 361 698
752 143 716
758 235 695
773  84 636
779  53 610
781 293 716
782 448 677
790 233 676
