# URL: http://imgsrc.hubblesite.org/hu/db/images/hs-1995-32-c-full_jpg.jpg ; Threshold of: 600; Time it took: (0.18699979782104492, 82); Stars found: 82; Data below is (x y brightness) brightness as rgb sum and x,y as pixel
  0  13 666
  0  17 608
  0 283 714
  0 344 658
  2 422 657
  4 363 642
  5 344 646
  8  59 676
 12 394 629
 13 389 616
 16 236 612
 17  59 615
 18 387 620
 24 418 609
 35 445 622
 38  28 615
 45 230 639
 45 276 611
 45 440 616
 47 355 620
 54 401 610
 68  96 646
 69  28 605
 69 102 640
 69 119 613
 72 349 633
 92 204 606
102 181 601
102 325 614
106   6 650
108  57 610
118 320 600
120 353 602
136 408 736
137 361 605
144   0 640
153   0 624
173  43 744
174 388 603
178  34 664
178 196 639
178 258 639
181 117 692
185 342 628
188 364 645
197 186 600
226 455 621
231 300 603
238 127 611
238 312 614
238 372 620
239 311 610
240 363 607
264 314 632
268  24 611
272  44 611
272 315 605
278 282 654
279 315 633
282 336 645
288  21 615
290 143 650
293 151 617
307 100 610
309 200 632
312 150 604
313 425 604
326 372 605
328 107 602
336 368 658
341 387 636
348 141 607
353 383 604
359   6 634
361 211 625
363 444 607
364 425 618
369   7 646
373 232 702
378 218 665
380  71 632
404 446 608
